Id,Label,Type
urn:uuid:ff0d6a4f-523d-407f-9b3e-9ce71ef5f5aa,Accessibility,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:bba39c59-5b0e-45ff-8528-d7a46e1d8bed,Announcements,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:aa90a927-705e-4c03-9bbc-8ee9a03f3e5a,Architecture - Buildings,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:cf5e6b7d-cc99-410e-8d8c-c60f7e668e38,Audio,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:ad4cdadb-5a42-4977-bac5-6669ab56c640,Branding,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:6f48e770-740c-41e5-9ec4-341a43e953f2,Breadcrumbs,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:41859909-dbbd-4c73-b87b-81c2badd8f29,Business Context,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:7b4f4354-952c-445a-8819-50e0f37a489a,Business Strategy,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:1fd50bf8-a214-486a-8381-060e039b3871,Business-to-Business,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:5480133a-d26d-405f-9e85-438c00498cee,Card Sorting,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:7a4f241a-ec24-46ab-9675-2be5e0e484a3,Case Studies,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:d1b079d7-5788-4d89-8a87-ce6c28df005e,Classics,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:6c4d9353-9999-41b6-8f4a-695c4d09db4b,Classification,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:2255d641-ad48-4fec-9e43-1e03ba7a25de,Classification Systems,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:9f05bace-6412-46a0-ae55-1e4fad58d21f,Client Management,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:9a7fa6c0-8a22-43cb-ad06-84f845eb2364,Cognitive Science,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:9f320ae9-52b6-4b47-bf43-072e1ca525e0,Communication Technology,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:b0862a8e-3e93-4f5c-8aa5-e32c48916b1f,Computer Science,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:9c40578b-9734-4af0-8752-206fe916bf5c,Conferences & Meetings,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:ec2263b7-ea82-41a8-9aa7-f43392f85515,Content,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:8085df69-3520-4b73-a97e-0dc1d4d5bc84,Content Inventories,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:bff49638-9952-4393-942a-2039aaeb811f,Content Management,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:a00b7682-aed0-415c-b2d6-8266df10723e,Contextual Navigation,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:9baa0727-a2fc-49ec-b626-518dc9cca3ab,Controlled Vocabularies,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:e309126b-f12b-4f03-bf57-17fcc9becdae,Design,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:9dd1b55b-a342-4647-a00f-5afec643c26b,Digital Libraries,http://www.w3.org/2004/02/skos/core#Concept
